吉林建筑大学测勘学院
主点要素:
p1=1.875	p2=1.875	q1=149.972	q2=149.972	T1=686.373	T2=686.373
圆曲线长Ly=747.198	平曲线 L=1347.198	 外矢距 E=72.494	切曲差D=25.548
主点里程桩号：
KZH=155224.535	KHY=155524.535	KQZ=155898.134	KYH=156271.733	KHZ=156571.733
主点坐标：
ZH(x,y) 33670.847,51097.981	HY(x,y) 33854.693,51334.953
YH(x,y) 34159.648,52012.333	HZ(x,y) 34215.177,52307.073

逐桩坐标
桩号      X坐标         Y坐标          切线方位角(d.ms) 左边桩X      左边桩Y      右边桩X      右边桩Y      
156400    34186.223      52137.803      79.211677      34198.262      52135.54       34174.184      52140.066      
156410    34188.057      52147.633      79.304996      34200.102      52145.404      34176.012      52149.862      
156420    34189.864      52157.469      79.394876      34201.915      52155.271      34177.813      52159.667      
156430    34191.646      52167.309      79.48132       34203.703      52165.14       34179.589      52169.478      
156440    34193.405      52177.153      79.560325      34205.466      52175.012      34181.344      52179.294      
156450    34195.142      52187.001      80.031893      34207.208      52184.885      34183.076      52189.117      
156460    34196.859      52196.852      80.100022      34208.929      52194.76       34184.789      52198.944      
156470    34198.558      52206.707      80.160714      34210.632      52204.636      34186.484      52208.778      
156480    34200.241      52216.564      80.213969      34212.318      52214.513      34188.164      52218.615      
156490    34201.908      52226.424      80.263785      34213.988      52224.39       34189.828      52228.458      
156500    34203.561      52236.287      80.310164      34215.644      52234.269      34191.478      52238.305      
156510    34205.203      52246.151      80.345105      34217.288      52244.146      34193.118      52248.156      
156520    34206.835      52256.017      80.380609      34218.922      52254.024      34194.748      52258.01       
156530    34208.458      52265.884      80.404674      34220.546      52263.9        34196.37       52267.868      
156540    34210.075      52275.753      80.425302      34222.164      52273.776      34197.986      52277.73       
156550    34211.686      52285.622      80.442492      34223.776      52283.651      34199.596      52287.593      
156560    34213.293      52295.492      80.452245      34225.384      52293.524      34201.202      52297.46       
156570    34214.899      52305.362      80.454559      34226.99       52303.396      34202.808      52307.328      
156571.73334215.177      52307.073      80.454611      34227.268      52305.107      34203.086      52309.039      

